symptom,possible_conditions,advice
low-grade fever chronic (months),Gallstones; Insomnia disorder; Appendicitis,"Possible causes include: Gallstones, Insomnia disorder, Appendicitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever sudden onset,Eustachian tube dysfunction; Otitis media; Vitamin B12 deficiency,"Possible causes include: Eustachian tube dysfunction, Otitis media, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever progressive,Ovarian cyst; Herpes zoster (shingles); Pressure ulcer,"Possible causes include: Ovarian cyst, Herpes zoster (shingles), Pressure ulcer. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever recurrent,Psoriasis; Vertigo (BPPV); Depression,"Possible causes include: Psoriasis, Vertigo (BPPV), Depression. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever severe,Dengue fever; Bronchiolitis; Carpal tunnel syndrome,"Possible causes include: Dengue fever, Bronchiolitis, Carpal tunnel syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever mild,Retinal detachment; Anaphylaxis; COVID-19,"Possible causes include: Retinal detachment, Anaphylaxis, COVID-19. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever moderate,Eczema herpeticum; Anxiety disorder; Urinary tract infection (UTI),"Possible causes include: Eczema herpeticum, Anxiety disorder, Urinary tract infection (UTI). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever worse when bending,Motion sickness; Sinusitis; Anxiety disorder,"Possible causes include: Motion sickness, Sinusitis, Anxiety disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever worse when coughing,Multiple sclerosis; Vertigo (BPPV); Seizure disorder (epilepsy),"Possible causes include: Multiple sclerosis, Vertigo (BPPV), Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever improves with rest,Sepsis; Rheumatoid arthritis; Earwax impaction,"Possible causes include: Sepsis, Rheumatoid arthritis, Earwax impaction. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever worse with movement,TMJ disorder; Ectopic pregnancy; Conjunctivitis,"Possible causes include: TMJ disorder, Ectopic pregnancy, Conjunctivitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever associated with fever,HIV-related infection; Transient ischemic attack (TIA); Rheumatoid arthritis,"Possible causes include: HIV-related infection, Transient ischemic attack (TIA), Rheumatoid arthritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever associated with vomiting,Depression; Tuberculosis; Bursitis,"Possible causes include: Depression, Tuberculosis, Bursitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with blood,Osteoarthritis; Transient ischemic attack (TIA); Parkinson's disease,"Possible causes include: Osteoarthritis, Transient ischemic attack (TIA), Parkinson's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with mucus,Contact dermatitis; Psoriasis; Endometriosis,"Possible causes include: Contact dermatitis, Psoriasis, Endometriosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with yellow discharge,Heart attack (myocardial infarction); Appendicitis; Inflammatory bowel disease (IBD),"Possible causes include: Heart attack (myocardial infarction), Appendicitis, Inflammatory bowel disease (IBD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with green discharge,Stroke; Hypoglycemia; Sports injury / sprain,"Possible causes include: Stroke, Hypoglycemia, Sports injury / sprain. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after travel,Inflammatory bowel disease (IBD); Tendonitis; Tension headache,"Possible causes include: Inflammatory bowel disease (IBD), Tendonitis, Tension headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after insect bite,Bronchitis; Pulmonary embolism; Deep vein thrombosis (DVT),"Possible causes include: Bronchitis, Pulmonary embolism, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after injury,Contact dermatitis; Endometriosis; Otitis media,"Possible causes include: Contact dermatitis, Endometriosis, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever postoperative,Pulmonary embolism; Pneumonia; Migraine,"Possible causes include: Pulmonary embolism, Pneumonia, Migraine. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after surgery,COVID-19; Pulmonary embolism; Hypoglycemia,"Possible causes include: COVID-19, Pulmonary embolism, Hypoglycemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever during menstruation,Earwax impaction; Venous insufficiency; Fracture,"Possible causes include: Earwax impaction, Venous insufficiency, Fracture. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever postpartum,Fungal infection; Meniere's disease; Rabies (rare),"Possible causes include: Fungal infection, Meniere's disease, Rabies (rare). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in elderly,Diabetes (hyperglycemia); Allergic rhinitis; Viral infection,"Possible causes include: Diabetes (hyperglycemia), Allergic rhinitis, Viral infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in child under 5,Anemia; Lupus (SLE); Vertigo (BPPV),"Possible causes include: Anemia, Lupus (SLE), Vertigo (BPPV). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in smoker,Hypoglycemia; COVID-19; Pulmonary embolism,"Possible causes include: Hypoglycemia, COVID-19, Pulmonary embolism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in diabetic patient,PID (pelvic inflammatory disease); Motion sickness; Hyperventilation syndrome,"Possible causes include: PID (pelvic inflammatory disease), Motion sickness, Hyperventilation syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever in immunocompromised,Endometriosis; Eustachian tube dysfunction; Malaria,"Possible causes include: Endometriosis, Eustachian tube dysfunction, Malaria. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after antibiotic use,Cluster headache; Conjunctivitis; Parkinson's disease,"Possible causes include: Cluster headache, Conjunctivitis, Parkinson's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after eating spicy food,Panic disorder; Conjunctivitis; Parasitic infection,"Possible causes include: Panic disorder, Conjunctivitis, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever after heavy meal,Hypoglycemia; Food poisoning; Vitamin B12 deficiency,"Possible causes include: Hypoglycemia, Food poisoning, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with weight loss,Iron deficiency anemia; Eustachian tube dysfunction; Heart failure,"Possible causes include: Iron deficiency anemia, Eustachian tube dysfunction, Heart failure. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with sweating,Carpal tunnel syndrome; Kidney stones; Otitis media,"Possible causes include: Carpal tunnel syndrome, Kidney stones, Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with shortness of breath,Cholecystitis; Typhoid fever; PID (pelvic inflammatory disease),"Possible causes include: Cholecystitis, Typhoid fever, PID (pelvic inflammatory disease). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with chest pain,Parasitic infection; Hypertension; Cellulitis,"Possible causes include: Parasitic infection, Hypertension, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever with palpitations,Shingles; Autoimmune disease; Parasitic infection,"Possible causes include: Shingles, Autoimmune disease, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever during exercise,Heart attack (myocardial infarction); Meningitis; Anaphylaxis,"Possible causes include: Heart attack (myocardial infarction), Meningitis, Anaphylaxis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever at rest,Appendicitis; Otitis media; Chronic kidney disease,"Possible causes include: Appendicitis, Otitis media, Chronic kidney disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever intermittent,Chronic obstructive pulmonary disease (COPD); Multiple sclerosis; Diabetes (hyperglycemia),"Possible causes include: Chronic obstructive pulmonary disease (COPD), Multiple sclerosis, Diabetes (hyperglycemia). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever constant,Cellulitis; Tension headache; Insomnia disorder,"Possible causes include: Cellulitis, Tension headache, Insomnia disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever episodes lasting minutes,Cellulitis; Food poisoning; Meniere's disease,"Possible causes include: Cellulitis, Food poisoning, Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
low-grade fever episodes lasting hours,Diabetes (hyperglycemia); Rheumatoid arthritis; Vertigo (BPPV),"Possible causes include: Diabetes (hyperglycemia), Rheumatoid arthritis, Vertigo (BPPV). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in children,COVID-19; Pulmonary embolism; Peripheral neuropathy,"Possible causes include: COVID-19, Pulmonary embolism, Peripheral neuropathy. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in adults,COVID-19; Heart attack (myocardial infarction); Sinusitis,"Possible causes include: COVID-19, Heart attack (myocardial infarction), Sinusitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever during pregnancy,Fungal infection; Motion sickness; Endometriosis,"Possible causes include: Fungal infection, Motion sickness, Endometriosis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after eating,Chronic obstructive pulmonary disease (COPD); Dehydration; Cluster headache,"Possible causes include: Chronic obstructive pulmonary disease (COPD), Dehydration, Cluster headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever on exertion,Encephalitis; Bronchitis; TMJ disorder,"Possible causes include: Encephalitis, Bronchitis, TMJ disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever at night,Encephalitis; Asthma; Vertigo (BPPV),"Possible causes include: Encephalitis, Asthma, Vertigo (BPPV). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in the morning,Parasitic infection; Seizure disorder (epilepsy); Pancreatitis,"Possible causes include: Parasitic infection, Seizure disorder (epilepsy), Pancreatitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever for 1 day,Fungal infection; Typhoid fever; Inflammatory bowel disease (IBD),"Possible causes include: Fungal infection, Typhoid fever, Inflammatory bowel disease (IBD). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever for 3 days,Transient ischemic attack (TIA); Cholecystitis; Sinusitis,"Possible causes include: Transient ischemic attack (TIA), Cholecystitis, Sinusitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever for 1 week,Vitamin B12 deficiency; Peptic ulcer disease; Shingles,"Possible causes include: Vitamin B12 deficiency, Peptic ulcer disease, Shingles. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever chronic (months),Tension headache; Otitis media; Fracture,"Possible causes include: Tension headache, Otitis media, Fracture. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever sudden onset,Peripheral neuropathy; Earwax impaction; Hyperthyroidism,"Possible causes include: Peripheral neuropathy, Earwax impaction, Hyperthyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever progressive,Kidney stones; Malaria; Motion sickness,"Possible causes include: Kidney stones, Malaria, Motion sickness. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever recurrent,Bursitis; Peptic ulcer disease; TMJ disorder,"Possible causes include: Bursitis, Peptic ulcer disease, TMJ disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever severe,Bronchiolitis; Urinary tract infection (UTI); Dermatitis/eczema,"Possible causes include: Bronchiolitis, Urinary tract infection (UTI), Dermatitis/eczema. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever mild,Gastritis; Venous insufficiency; Parasitic infection,"Possible causes include: Gastritis, Venous insufficiency, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever moderate,Dermatitis/eczema; Rabies (rare); Iron deficiency anemia,"Possible causes include: Dermatitis/eczema, Rabies (rare), Iron deficiency anemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever worse when bending,Diabetes (hyperglycemia); Hypertension; Bursitis,"Possible causes include: Diabetes (hyperglycemia), Hypertension, Bursitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever worse when coughing,Pancreatitis; Tuberculosis; Cellulitis,"Possible causes include: Pancreatitis, Tuberculosis, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever improves with rest,Sports injury / sprain; COVID-19; HIV-related infection,"Possible causes include: Sports injury / sprain, COVID-19, HIV-related infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever worse with movement,Seizure disorder (epilepsy); Gastritis; Fracture,"Possible causes include: Seizure disorder (epilepsy), Gastritis, Fracture. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever associated with fever,Earwax impaction; Lupus (SLE); Occupational lung disease,"Possible causes include: Earwax impaction, Lupus (SLE), Occupational lung disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever associated with vomiting,Pressure ulcer; Laryngitis; Gallstones,"Possible causes include: Pressure ulcer, Laryngitis, Gallstones. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with blood,Tooth abscess; Shingles; Periodontal disease (gum infection),"Possible causes include: Tooth abscess, Shingles, Periodontal disease (gum infection). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with mucus,Asthma; Dehydration; PID (pelvic inflammatory disease),"Possible causes include: Asthma, Dehydration, PID (pelvic inflammatory disease). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with yellow discharge,Anaphylaxis; Autoimmune disease; Hyperthyroidism,"Possible causes include: Anaphylaxis, Autoimmune disease, Hyperthyroidism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with green discharge,Bronchitis; Retinal detachment; Meningitis,"Possible causes include: Bronchitis, Retinal detachment, Meningitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after travel,Food poisoning; Bacterial infection; Pulmonary embolism,"Possible causes include: Food poisoning, Bacterial infection, Pulmonary embolism. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after insect bite,RSV infection; Conjunctivitis; Gastritis,"Possible causes include: RSV infection, Conjunctivitis, Gastritis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after injury,Panic disorder; Hypothyroidism; Sepsis,"Possible causes include: Panic disorder, Hypothyroidism, Sepsis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever postoperative,COVID-19; Insomnia disorder; Tendonitis,"Possible causes include: COVID-19, Insomnia disorder, Tendonitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after surgery,Inflammatory bowel disease (IBD); Panic disorder; Acute kidney injury,"Possible causes include: Inflammatory bowel disease (IBD), Panic disorder, Acute kidney injury. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever during menstruation,Peripheral arterial disease; Ectopic pregnancy; Encephalitis,"Possible causes include: Peripheral arterial disease, Ectopic pregnancy, Encephalitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever postpartum,Parkinson's disease; Dengue fever; Laryngitis,"Possible causes include: Parkinson's disease, Dengue fever, Laryngitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in elderly,PID (pelvic inflammatory disease); TMJ disorder; Allergic rhinitis,"Possible causes include: PID (pelvic inflammatory disease), TMJ disorder, Allergic rhinitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in child under 5,Otitis media; Panic disorder; RSV infection,"Possible causes include: Otitis media, Panic disorder, RSV infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in smoker,Peripheral arterial disease; Cellulitis; Parkinson's disease,"Possible causes include: Peripheral arterial disease, Cellulitis, Parkinson's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in diabetic patient,Cellulitis; Seizure disorder (epilepsy); COVID-19,"Possible causes include: Cellulitis, Seizure disorder (epilepsy), COVID-19. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever in immunocompromised,Angina; Rheumatoid arthritis; Anxiety disorder,"Possible causes include: Angina, Rheumatoid arthritis, Anxiety disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after antibiotic use,Seizure disorder (epilepsy); Vertigo (BPPV); Otitis media,"Possible causes include: Seizure disorder (epilepsy), Vertigo (BPPV), Otitis media. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after eating spicy food,Shingles; Dengue fever; Vitamin B12 deficiency,"Possible causes include: Shingles, Dengue fever, Vitamin B12 deficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever after heavy meal,Diabetes (hyperglycemia); Food poisoning; Parasitic infection,"Possible causes include: Diabetes (hyperglycemia), Food poisoning, Parasitic infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with weight loss,Glaucoma; Cellulitis; Chronic kidney disease,"Possible causes include: Glaucoma, Cellulitis, Chronic kidney disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with sweating,Conjunctivitis; Tension headache; Anemia,"Possible causes include: Conjunctivitis, Tension headache, Anemia. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with shortness of breath,Eustachian tube dysfunction; Multiple sclerosis; Food poisoning,"Possible causes include: Eustachian tube dysfunction, Multiple sclerosis, Food poisoning. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with chest pain,Rheumatoid arthritis; Pressure ulcer; Fracture,"Possible causes include: Rheumatoid arthritis, Pressure ulcer, Fracture. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever with palpitations,Rheumatoid arthritis; Herpes zoster (shingles); Bacterial infection,"Possible causes include: Rheumatoid arthritis, Herpes zoster (shingles), Bacterial infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever during exercise,Ectopic pregnancy; Liver disease (hepatitis); Heart attack (myocardial infarction),"Possible causes include: Ectopic pregnancy, Liver disease (hepatitis), Heart attack (myocardial infarction). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever at rest,Transient ischemic attack (TIA); Carpal tunnel syndrome; Deep vein thrombosis (DVT),"Possible causes include: Transient ischemic attack (TIA), Carpal tunnel syndrome, Deep vein thrombosis (DVT). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever intermittent,Conjunctivitis; Herpes zoster (shingles); Meniere's disease,"Possible causes include: Conjunctivitis, Herpes zoster (shingles), Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever constant,Transient ischemic attack (TIA); Sports injury / sprain; Sinusitis,"Possible causes include: Transient ischemic attack (TIA), Sports injury / sprain, Sinusitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever episodes lasting minutes,Meningitis; Bursitis; Conjunctivitis,"Possible causes include: Meningitis, Bursitis, Conjunctivitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
high fever episodes lasting hours,Anxiety disorder; Tooth abscess; Fungal infection,"Possible causes include: Anxiety disorder, Tooth abscess, Fungal infection. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in children,Angina; Gout; Cluster headache,"Possible causes include: Angina, Gout, Cluster headache. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in adults,Heart failure; Sports injury / sprain; Seizure disorder (epilepsy),"Possible causes include: Heart failure, Sports injury / sprain, Seizure disorder (epilepsy). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills during pregnancy,Dermatitis/eczema; Autoimmune disease; Venous insufficiency,"Possible causes include: Dermatitis/eczema, Autoimmune disease, Venous insufficiency. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills after eating,Hyperthyroidism; Sinusitis; Eczema herpeticum,"Possible causes include: Hyperthyroidism, Sinusitis, Eczema herpeticum. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills on exertion,Ovarian cyst; Dehydration; Anaphylaxis,"Possible causes include: Ovarian cyst, Dehydration, Anaphylaxis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills at night,Motion sickness; Eczema herpeticum; Contact dermatitis,"Possible causes include: Motion sickness, Eczema herpeticum, Contact dermatitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills in the morning,Anemia; Fracture; Insomnia disorder,"Possible causes include: Anemia, Fracture, Insomnia disorder. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills for 1 day,Parkinson's disease; Dermatitis/eczema; Peripheral neuropathy,"Possible causes include: Parkinson's disease, Dermatitis/eczema, Peripheral neuropathy. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills for 3 days,Stroke; Gallstones; Carpal tunnel syndrome,"Possible causes include: Stroke, Gallstones, Carpal tunnel syndrome. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills for 1 week,Liver disease (hepatitis); Psoriasis; Gallstones,"Possible causes include: Liver disease (hepatitis), Psoriasis, Gallstones. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills chronic (months),Motion sickness; PID (pelvic inflammatory disease); Meniere's disease,"Possible causes include: Motion sickness, PID (pelvic inflammatory disease), Meniere's disease. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills sudden onset,Sports injury / sprain; Chronic kidney disease; Liver disease (hepatitis),"Possible causes include: Sports injury / sprain, Chronic kidney disease, Liver disease (hepatitis). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills progressive,Tension headache; Hyperventilation syndrome; Allergic rhinitis,"Possible causes include: Tension headache, Hyperventilation syndrome, Allergic rhinitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills recurrent,Rheumatoid arthritis; Carpal tunnel syndrome; Cellulitis,"Possible causes include: Rheumatoid arthritis, Carpal tunnel syndrome, Cellulitis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills severe,Meniere's disease; Ovarian cyst; Pressure ulcer,"Possible causes include: Meniere's disease, Ovarian cyst, Pressure ulcer. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills mild,Osteoarthritis; Gastroesophageal reflux disease (GERD); COVID-19,"Possible causes include: Osteoarthritis, Gastroesophageal reflux disease (GERD), COVID-19. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills moderate,Liver disease (hepatitis); Gout; Stroke,"Possible causes include: Liver disease (hepatitis), Gout, Stroke. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills worse when bending,Hypothyroidism; Acute kidney injury; Lupus (SLE),"Possible causes include: Hypothyroidism, Acute kidney injury, Lupus (SLE). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills worse when coughing,Bacterial infection; Tendonitis; PID (pelvic inflammatory disease),"Possible causes include: Bacterial infection, Tendonitis, PID (pelvic inflammatory disease). This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills improves with rest,Cholecystitis; Rheumatoid arthritis; Asthma,"Possible causes include: Cholecystitis, Rheumatoid arthritis, Asthma. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills worse with movement,Chronic obstructive pulmonary disease (COPD); Eczema herpeticum; Gout,"Possible causes include: Chronic obstructive pulmonary disease (COPD), Eczema herpeticum, Gout. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
chills associated with fever,Fracture; Cholecystitis; Sepsis,"Possible causes include: Fracture, Cholecystitis, Sepsis. This is not a diagnosis. If symptoms are severe, persistent, or worsening, please consult a doctor or go to the nearest hospital."
